CalledComponentName,Called Component Type,Status,Found in Columbus as Diff type,Application Code,Application Name,Application Owner
PMCP120C,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCP120L,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCP120K,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCC0130,DCLGEN,Missing,COPYBOOK,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMMO130,DCLGEN,Missing,MAPS,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMMO140,DCLGEN,Missing,MAPS,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMMO145,DCLGEN,Missing,MAPS,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMMO141,DCLGEN,Missing,MAPS,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMMO160,DCLGEN,Missing,MAPS,PM,Policy Master Record Inquiry,"Hutto, Amy"
POC5000X,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POC5000I,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POC5000O,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POC5000J,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POC5000C,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POC5000L,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POC5000K,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POCC0001,DCLGEN,Missing,COPYBOOK,PO,Omega Reissues,"Hutto, Amy"
POCO6100,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POCC7800,DCLGEN,Missing,COPYBOOK,PO,Omega Reissues,"Hutto, Amy"
POCC7850,DCLGEN,Missing,COPYBOOK,PO,Omega Reissues,"Hutto, Amy"
POCC7900,DCLGEN,Missing,COPYBOOK,PO,Omega Reissues,"Hutto, Amy"
POCC7950,DCLGEN,Missing,COPYBOOK,PO,Omega Reissues,"Hutto, Amy"
PRC0100X,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PRC0100I,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PRC0100O,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PRC0100J,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PRC0100C,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PRC0100L,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PRC0100K,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PENRECG,DCLGEN,Missing,COPYBOOK,PE,Policy Exceptions,"Hutto, Amy"
ATTMATCH,COPYBOOK,Missing,-,AT,Actuarial,"Hutto, Amy"
CPSGCPRB,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSS162B,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSCONTR,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDDFLT1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDDFLT2,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFEXOVR,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFGROVR,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFSTOVR,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFDFLT1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFDFLT2,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSAPYPR,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSOINVC,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSINVCN,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
WWCO0000,COBOL,Missing,-,WW,"Policy Services Workflow
Owner: Amy","Hutto, Amy"
COLHDRS,MAPS,Missing,-,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
TCPDATA,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
PE10SPX,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE15X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE20SPX,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE25X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE22X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
