component_name,component_type,tloc,orphan,Inscope
AUDG40,COBOL,1382,No,Yes
AUDG55,COBOL,1035,No,Yes
AUDG50,COBOL,986,No,Yes
AUDG70,COBOL,1034,No,Yes
AUDG60,COBOL,1340,No,Yes
AUDG90,COBOL,1162,No,Yes
AUDM01,COBOL,966,No,Yes
AUDM02,COBOL,810,Yes,Yes
AUDM03,COBOL,551,No,Yes
AUDM04,COBOL,787,No,Yes
AUDG80,COBOL,2255,No,Yes
AUDTST,COBOL,1105,No,Yes
BKR002,COBOL,9388,No,Yes
BKR022,COBOL,587,No,Yes
AUDS01,COBOL,821,No,Yes
BKR023,COBOL,920,No,Yes
BKR025,COBOL,856,No,Yes
BKR027,COBOL,1721,No,Yes
BKR028,COBOL,497,No,Yes
BKR037,COBOL,4599,No,Yes
BKR038,COBOL,1733,No,Yes
BKR044,COBOL,662,No,Yes
BKR045,COBOL,674,No,Yes
BKR036,COBOL,1368,No,Yes
BKR046,COBOL,1873,No,Yes
BKR048,COBOL,876,No,Yes
BKR052,COBOL,558,No,Yes
BKR055,COBOL,456,No,Yes
BKR056,COBOL,588,No,Yes
BKR057,COBOL,298,No,Yes
BKR047,COBOL,653,No,Yes
BKR058,COBOL,304,No,Yes
BKR060,COBOL,315,No,Yes
BKR061,COBOL,304,No,Yes
BKR059,COBOL,310,No,Yes
BKR063,COBOL,249,No,Yes
BKR062,COBOL,315,No,Yes
BKR064,COBOL,255,No,Yes
BKR068,COBOL,863,No,Yes
BKR066,COBOL,1239,No,Yes
BKR070,COBOL,441,No,Yes
BKR072,COBOL,265,No,Yes
BKR074,COBOL,1295,No,Yes
BKR069,COBOL,428,No,Yes
BKR076,COBOL,1434,No,Yes
CDBRSTR,COBOL,39,No,Yes
BKR075,COBOL,1293,No,Yes
CDR009,COBOL,1500,No,Yes
CDR008,COBOL,1727,No,Yes
CDR011,COBOL,529,No,Yes
CDR012,COBOL,481,No,Yes
CDR013,COBOL,932,No,Yes
CDR014,COBOL,481,No,Yes
CDR018,COBOL,311,No,Yes
CDR010,COBOL,1418,No,Yes
CDR032,COBOL,4409,No,Yes
CDR033,COBOL,1183,No,Yes
CDR034,COBOL,438,No,Yes
CDR040,COBOL,730,No,Yes
CDR044,COBOL,596,No,Yes
CDR028,COBOL,1578,No,Yes
CDR060,COBOL,7715,No,Yes
CDR061,COBOL,2886,No,Yes
CDR055,COBOL,4389,No,Yes
CDR064,COBOL,3613,No,Yes
CDR065,COBOL,353,No,Yes
CDR062,COBOL,4857,No,Yes
CDR06AE,COBOL,324,No,Yes
CDR066,COBOL,356,No,Yes
CDR075,COBOL,1797,No,Yes
CDR076,COBOL,1533,No,Yes
CDR070,COBOL,2025,No,Yes
CDR077,COBOL,2119,No,Yes
CDR079,COBOL,1938,No,Yes
CDR080,COBOL,1324,No,Yes
CDR081,COBOL,1047,No,Yes
CDR083,COBOL,3024,No,Yes
CDR084,COBOL,2468,No,Yes
CDR082,COBOL,1625,No,Yes
CDR085,COBOL,1618,No,Yes
CDR087,COBOL,1933,No,Yes
CDR088,COBOL,581,No,Yes
CDR086,COBOL,1374,No,Yes
CDR08AE,COBOL,194,No,Yes
CDR091,COBOL,2617,No,Yes
CDR090,COBOL,975,No,Yes
CDR0R8,COBOL,360,No,Yes
CDR100,COBOL,439,No,Yes
CDR099,COBOL,539,No,Yes
CDR130,COBOL,1414,No,Yes
CDR125,COBOL,1794,No,Yes
CDR135,COBOL,1278,No,Yes
CDR141,COBOL,870,No,Yes
CDR142,COBOL,528,No,Yes
CDR551,COBOL,941,No,Yes
CDR600,COBOL,2927,No,Yes
CDR601,COBOL,574,No,Yes
CDR602,COBOL,3209,No,Yes
CDR143,COBOL,993,No,Yes
CDR603,COBOL,358,No,Yes
CDR620,COBOL,1493,Yes,Yes
CDR630,COBOL,1497,Yes,Yes
CDR661,COBOL,679,No,Yes
CDR610,COBOL,1579,Yes,Yes
CDR670,COBOL,1554,No,Yes
CDR671,COBOL,1390,No,Yes
CDR669,COBOL,535,No,Yes
CDR672,COBOL,1390,No,Yes
CDR673,COBOL,580,No,Yes
CDR674,COBOL,964,No,Yes
CDR675,COBOL,372,No,Yes
CDR677,COBOL,373,No,Yes
CDR678,COBOL,1556,No,Yes
CDR679,COBOL,1391,No,Yes
CDR680,COBOL,1391,No,Yes
CDR676,COBOL,534,No,Yes
CDR700,COBOL,2505,No,Yes
CDR901,COBOL,1384,No,Yes
CDR902,COBOL,1801,No,Yes
CDR903,COBOL,1248,No,Yes
CDR681,COBOL,433,No,Yes
CDR904,COBOL,1216,No,Yes
CDR905,COBOL,1071,No,Yes
CDR907,COBOL,489,No,Yes
CDR920,COBOL,455,No,Yes
CDR921,COBOL,408,No,Yes
CDR921,COBOL,2045,No,No
CDR906,COBOL,1067,No,Yes
CDRA24,COBOL,721,No,Yes
CDRA25,COBOL,1209,No,Yes
CDRA23,COBOL,1095,Yes,Yes
CDRA28,COBOL,1179,No,Yes
CDRA27,COBOL,1100,No,Yes
