component_name,component_type,app_name,app_owner,action,server_name,directory_name,source,destination,instance
PACPD850,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,NEWYORK_SKELTON_FILE.CSV,PA.CPCB7020.SKELTON.FILE,Newyork
PACPD850,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,NEWYORK_FORMULA_FILE.TXT,PA.CPCB7020.FORMULA.FILE,Newyork
PACPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PA.CPPS.CPCB7020.NY.FINANCE.SHEET(+0),NEWYORK_FINANCE_SHEET.CSV,Newyork
PACPD900,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PA.CPPS.PROVIDER.EFT.REJECTS,AFLAC_PRV835_NY.DJPM_CLPNY,Newyork
PAFGD0BL,JCL,Life 70 - General Accounting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,\PC.SAPFI\BLACKLINE\DATA\,PA.FCPS.PCFGD040.RPT99.BLKLINE(0),PA_CLEARING_ACCTS.TXT,Newyork
PAFGD0BL,JCL,Life 70 - General Accounting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,\PC.SAPFI\BLACKLINE\DATA\,PA.FGPS.PCFGD015.RPT08.BLKLINE(0),PA_SUSPENSE_ACCTS.TXT,Newyork
PANPD514,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PA.NPPS.DRAFT.MTS.LETTERS(+1),DISP=SHR          ",PAEXD51401.SEEDS,Newyork
PANPD514,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PA.NPPS.DRAFT.LETTER.MTS.CMDLINE(+1),DISP=SHR   ",PAEXD51401.TXT,Newyork
PANPD514,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PAEXD51401CMD.TXT,Newyork
PANPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGNY\TEMP,KEY.TXT,PA.NPPS.FFA.DOWNLOAD.KEY,Newyork
PANPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGNY\TEMP,COUNT.TXT,PA.NPPS.FFA.DOWNLOAD.CNT,Newyork
PANPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGNY\TEMP,BALANCENEW.TXT,PA.NPPS.FFA.DOWNLOAD.BAL,Newyork
PANPR920,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.FILLABLEPDF,//DD:INFILE,NYFILLPDF.TXT,Newyork
PANRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PA.NRPS.IBS.NREB0560.MTS.FILE(+1),DISP=SHR      ",PAEXD50201.SEEDS,Newyork
PANRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PA.NRPS.IBS.NREB0560.MTS.CMDLINE(+1),           ",PAEXD50201.TXT,Newyork
PANRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PAEXD50201CMD.TXT,Newyork
PAPCD175,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SAP_ERPHR/OUTBOUND/BN/WWHQADDRESSTOCIF,CIF_CENSUS.CSV,PA.PCPS.HRFILE.FOR.UPDATE(+0),Newyork
PAPCD509,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PA.PCPS.RET.LETTERS.MTS.LETTERS(+1),           ",PAEXD50901.SEEDS,Newyork
PAPCD509,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PA.PCPS.RET.LETTERS.MTS.CMDLINE(+1),           ",PAEXD50901.TXT,Newyork
PAPCD509,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PAEXD50901CMD.TXT,Newyork
