CalledComponentName,Called Component Type,Status,Found in Newyork as Diff type,Application Code,Application Name,Application Owner
NP111S8,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP111S9,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP111T1,COBOL,Missing,,NP,Life 70 - Underwriting,"Hutto, Amy"
NBCKWX02,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX03,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXV1,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NP11101,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11102,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11103,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11104,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11105,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11106,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11107,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11108,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11110,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11112,COBOL,Missing,,NP,Life 70 - Underwriting,"Hutto, Amy"
NBCO3745,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO3140,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO3145,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NP11120,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11121,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11123,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11125,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11127,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11130,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP16400,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP16410,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP16470,COBOL,Missing,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11150,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11151,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11161,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11162,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11163,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11164,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11170,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11171,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11172,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11173,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NBCO0080,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NP11180,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11181,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NBCO0085,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0090,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO3792,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0095,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
PCCO6600,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NP14252,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
NPCO0140,COBOL,Found in Columbus,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11096C,COBOL,Found in Columbus,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11097C,COBOL,Found in Columbus,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11098C,COBOL,Found in Columbus,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11095C,COBOL,Missing,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP11099C,COBOL,Missing,,NP,Life 70 - Underwriting,"Hutto, Amy"
COBNAT,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS316,COBOL,Found in Columbus,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS320,COBOL,Found in Columbus,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS300,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS302,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS304,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS306,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS308,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS310,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS312,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS660,COBOL,Found in Columbus,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS666,COBOL,Found in Columbus,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS368,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS372,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
